blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redCSPerMin,redGoldPerMin,blue_objective_share,blue_vision_share,blue_kill_share,log_blueTotalGold,log_blueTotalExperience,log_redTotalGold,log_redTotalExperience,log_blueGoldPerMin,log_redGoldPerMin
17,0,0,1,7,0,0,0,0,0,14266,6.8,17850,222,56,-3389,-1855,22.2,1426.6,39,3,1,7,1,9,2,1,1,0,17655,7.4,19705,231,76,23.1,1765.5,0.0,0.30357142857142855,0.125,9.565704457114814,9.789814808047552,9.778830947936573,9.88867843688242,7.263749991616005,7.4767554667992
54,4,0,8,7,9,0,0,0,0,16355,7.0,17876,193,44,-495,934,19.3,1635.5,16,2,1,7,8,7,1,1,0,0,16850,6.6,16942,191,60,19.1,1685.0,0.0,0.7714285714285715,0.5333333333333333,9.702350081484532,9.791270249415089,9.732165281200542,9.737610048158107,7.400315093941235,7.430114138561801
144,4,1,4,7,6,1,1,0,0,15787,7.2,18200,230,42,-1856,-1804,23.0,1578.7,14,3,0,7,4,11,0,0,0,0,17643,7.4,20004,225,66,22.5,1764.3,1.0,0.9113924050632911,0.36363636363636365,9.667005436782738,9.809231816610408,9.77815106122483,9.903737521291335,7.3649902345750515,7.476075926595238
18,4,1,6,7,10,2,1,1,0,17259,7.0,19074,236,67,-214,1004,23.6,1725.9,84,3,0,7,6,8,0,0,0,0,17473,7.0,18070,225,46,22.5,1747.3,1.0,0.17647058823529413,0.46153846153846156,9.756146964637418,9.856133856152658,9.76846934085804,9.802063722398165,7.454083172590624,7.466399166203603
17,2,0,6,10,7,1,1,0,0,15336,6.6,16676,187,56,-2735,-2136,18.7,1533.6,15,1,1,10,6,9,1,0,1,0,18071,7.0,18812,226,46,22.6,1807.1,0.5,0.53125,0.375,9.638023488650779,9.721785803621579,9.80211905814784,9.842303399211131,7.336025039743565,7.500031849157108
15,1,0,1,6,1,0,0,0,0,13679,6.4,16597,209,52,-4365,-2883,20.9,1367.9,20,4,1,6,1,6,1,1,0,0,18044,7.2,19480,243,59,24.3,1804.4,0.0,0.42857142857142855,0.14285714285714285,9.523690191176541,9.717037485158393,9.800623917076889,9.877194910581204,7.221762776601467,7.4985374528640545
14,3,0,6,5,8,2,1,1,0,16302,7.2,18772,231,46,336,936,23.1,1630.2,16,0,1,5,6,5,0,0,0,0,15966,7.0,17836,223,44,22.3,1596.6,1.0,0.4666666666666667,0.5454545454545454,9.699104418939655,9.840174946324362,9.678279371339702,9.789030230558303,7.397071219260245,7.3762577821016055
30,4,0,7,3,10,1,1,0,0,16065,6.8,17018,200,53,1322,148,20.0,1606.5,40,5,1,3,7,2,0,0,0,0,14743,6.6,16870,213,35,21.3,1474.3,1.0,0.42857142857142855,0.7,9.684460516733758,9.742085645994678,9.59859149934966,9.733351450605975,7.382435456111774,7.296616637923521
15,1,0,2,10,1,0,0,0,0,13711,6.2,15114,180,48,-4331,-3757,18.0,1371.1,23,0,1,10,2,12,2,1,1,0,18042,7.2,18871,216,71,21.6,1804.2,0.0,0.39473684210526316,0.16666666666666666,9.52602664083756,9.623442907213558,9.800513076908299,9.845434621087511,7.224097691927129,7.498426667952846
15,1,0,3,3,6,0,0,0,0,14127,6.6,16566,186,44,-1171,-1157,18.6,1412.7,16,3,1,3,3,4,1,1,0,0,15298,6.6,17723,233,60,23.3,1529.8,0.0,0.4838709677419355,0.5,9.555913922843741,9.715168043938537,9.63554274576738,9.782674932319381,7.2539656598729865,7.333545753551547
12,4,0,2,8,2,1,1,0,0,15421,7.2,19276,217,84,-2771,-1125,21.7,1542.1,14,2,1,8,2,5,0,0,0,0,18192,7.4,20401,234,64,23.4,1819.2,1.0,0.46153846153846156,0.2,9.643550340392906,9.866667954397592,9.808792183696804,9.923388214242465,7.341548659077159,7.506701664143256
13,1,0,4,5,7,0,0,0,0,15921,7.0,18190,217,48,-594,-353,21.7,1592.1,14,1,1,5,4,7,2,1,1,0,16515,7.2,18543,235,48,23.5,1651.5,0.0,0.48148148148148145,0.4444444444444444,9.675457079648524,9.808682245262217,9.71208488700598,9.827901565579532,7.373437082578849,7.410044571725841
14,3,1,10,4,12,1,1,0,0,19017,7.2,19432,240,54,5117,4126,24.0,1901.7,15,5,0,4,10,4,0,0,0,0,13900,6.4,15306,193,34,19.3,1390.0,1.0,0.4827586206896552,0.7142857142857143,9.85314117809939,9.874727930864703,9.539716058977092,9.636065519091707,7.551029209046355,7.237778191923443
18,4,1,4,1,6,1,1,0,0,16448,7.2,18932,248,61,1306,431,24.8,1644.8,14,3,0,1,4,2,0,0,0,0,15142,7.0,18501,262,64,26.2,1514.2,1.0,0.5625,0.8,9.708019964072157,9.84866171025235,9.625293657956655,9.825634113331263,7.405981867171612,7.323302722431814
17,3,1,8,5,13,1,1,0,0,17355,6.8,17548,204,39,1890,1473,20.4,1735.5,70,3,0,5,8,5,0,0,0,0,15465,6.4,16075,177,48,17.7,1546.5,1.0,0.19540229885057472,0.6153846153846154,9.761693546918242,9.772752247213607,9.64639934516898,9.685082755569091,7.459626872184129,7.344396004558751
43,0,0,1,4,0,0,0,0,0,13046,6.2,15452,197,41,-2264,-964,19.7,1304.6,15,6,1,4,1,2,0,0,0,0,15310,6.6,16416,222,44,22.2,1531.0,0.0,0.7413793103448276,0.2,9.476313501265748,9.645558438233694,9.636326803305096,9.706072662294519,7.174417984209843,7.3343293503005365
25,2,0,7,7,8,0,0,0,0,17194,7.0,18161,233,39,633,-944,23.3,1719.4,19,1,1,7,7,5,0,0,0,0,16561,7.2,19105,202,54,20.2,1656.1,0.0,0.5681818181818182,0.5,9.752373922866367,9.807086778249774,9.714866193593645,9.857757700829954,7.450312100909581,7.412824365635748
15,2,1,6,5,5,1,1,0,0,17056,7.2,18811,234,48,739,711,23.4,1705.6,14,0,0,5,6,6,0,0,0,0,16317,6.8,18100,231,53,23.1,1631.7,1.0,0.5172413793103449,0.5454545454545454,9.744315955640873,9.842250243064939,9.700024071988745,9.803722464346553,7.442258366102484,7.397990365132118
40,2,0,6,4,4,0,0,0,0,16085,7.4,19076,204,56,275,872,20.4,1608.5,15,1,1,4,6,5,1,1,0,0,15810,7.2,18204,223,62,22.3,1581.0,0.0,0.7272727272727273,0.6,9.685704607464015,9.856238699935517,9.668461179310146,9.809451560609533,7.383678850738863,7.366445148327599
12,1,0,5,11,3,0,0,0,0,16007,6.6,17004,206,64,-3397,-2492,20.6,1600.7,18,3,1,11,5,8,1,1,0,1,19404,7.2,19496,229,68,22.9,1940.4,0.0,0.4,0.3125,9.68084387626357,9.741262697441297,9.873286043803006,9.878015886562459,7.378820844174251,7.571164641278126
9,2,0,4,8,2,0,0,0,0,15901,6.8,18288,233,55,-1333,284,23.3,1590.1,14,0,1,8,4,13,1,1,0,0,17234,7.0,18004,214,40,21.4,1723.4,0.0,0.391304347826087,0.3333333333333333,9.674200166461429,9.814055065204576,9.754697478950966,9.798404776082975,7.37218087991381,7.45263444287298
17,4,0,4,3,6,0,0,0,0,14353,6.8,17197,178,48,-1009,-280,17.8,1435.3,17,4,1,3,4,1,1,1,0,0,15362,6.8,17477,222,62,22.2,1536.2,0.0,0.5,0.5714285714285714,9.571783927990017,9.752548376970841,9.63971730013066,9.768698226187489,7.269825641437777,7.337717858690689
14,5,1,4,2,1,0,0,0,0,15727,7.4,18760,264,56,1441,473,26.4,1572.7,14,2,0,2,4,0,0,0,0,0,14286,7.0,18287,211,43,21.1,1428.6,0.0,0.5,0.6666666666666666,9.663197842386948,9.83953552604361,9.567105311865157,9.814000386034591,7.361184813606819,7.265149963845218
15,3,1,2,8,1,1,0,1,0,14014,6.6,16219,205,48,-3443,-2284,20.5,1401.4,17,3,0,8,2,8,0,0,0,0,17457,7.2,18503,230,52,23.0,1745.7,1.0,0.46875,0.2,9.547883463598888,9.694000327669404,9.767553275295295,9.825742203911275,7.245940333607025,7.465483572434347
38,4,1,3,6,3,0,0,0,0,15541,7.0,18700,236,48,-376,-71,23.6,1554.1,14,0,0,6,3,5,1,1,0,0,15917,7.0,18771,226,48,22.6,1591.7,0.0,0.7307692307692307,0.3333333333333333,9.651301315769187,9.83633227734872,9.675205823365795,9.840121676914308,7.349295131227292,7.373185968257736
14,2,1,7,7,4,0,0,0,0,16068,6.8,17309,193,42,-466,608,19.3,1606.8,20,2,0,7,7,9,0,0,0,0,16534,6.4,16701,224,29,22.4,1653.4,0.0,0.4117647058823529,0.5,9.684647229041753,9.759039648170255,9.713234625415893,9.723283751713176,7.38262206389386,7.41119368431411
146,0,0,1,11,1,0,0,0,0,13943,6.2,16274,204,56,-5302,-3981,20.4,1394.3,50,3,1,11,1,13,0,0,0,0,19245,7.4,20255,238,64,23.8,1924.5,0.0,0.7448979591836735,0.08333333333333333,9.542804587199857,9.69738546707677,9.865058525916346,9.916206324943902,7.240864724898161,7.562940953254963
20,0,0,6,13,8,0,0,0,0,15304,6.4,15933,175,40,-5191,-3819,17.5,1530.4,13,4,1,13,6,15,0,0,0,0,20495,7.2,19752,229,49,22.9,2049.5,0.0,0.6060606060606061,0.3157894736842105,9.635934851379513,9.676210469940312,9.927985024136515,9.891060657528001,7.333937628679023,7.625838944832114
16,0,1,12,6,12,2,1,1,0,18661,6.8,18012,197,60,2479,1210,19.7,1866.1,22,2,0,6,12,6,0,0,0,0,16182,6.6,16802,203,44,20.3,1618.2,1.0,0.42105263157894735,0.6666666666666666,9.834244649793968,9.798848998423558,9.691716587516886,9.729312720877942,7.53214170397129,7.389687479093147
41,2,1,8,7,15,0,0,0,0,16867,6.8,17923,228,37,150,-446,22.8,1686.7,14,1,0,7,8,5,1,1,0,0,16717,7.2,18369,222,44,22.2,1671.7,0.0,0.7454545454545455,0.5333333333333333,9.73317361486645,9.793895875906033,9.7242412622591,9.818474178209172,7.431121934242439,7.422194366317963
16,4,0,1,3,1,1,0,1,0,14605,7.0,17830,244,48,-280,903,24.4,1460.5,14,3,1,3,1,3,1,1,0,0,14885,6.6,16927,217,60,21.7,1488.5,0.5,0.5333333333333333,0.25,9.589187682180055,9.788693794534046,9.608176452919857,9.736724334658026,7.287218584551301,7.306195772153337
15,2,0,3,5,2,1,1,0,0,14444,6.4,16768,231,27,-1501,-878,23.1,1444.4,17,4,1,5,3,4,0,0,0,0,15945,7.0,17646,215,47,21.5,1594.5,1.0,0.46875,0.375,9.578103612900335,9.72728722274711,9.67696329306244,9.778321076243234,7.276141378848881,7.374942445718299
42,1,0,6,6,5,0,0,0,0,15651,6.8,17769,195,44,-919,-483,19.5,1565.1,16,2,1,6,6,5,1,1,0,0,16570,7.0,18252,203,68,20.3,1657.0,0.0,0.7241379310344828,0.5,9.658353983330302,9.785266921148697,9.715409458629793,9.812084729062784,7.356343731472388,7.4133673356952405
57,3,0,2,6,1,0,0,0,0,14230,6.6,17035,232,39,-2647,-1872,23.2,1423.0,16,1,1,6,2,6,2,1,1,0,16877,7.0,18907,254,69,25.4,1687.7,0.0,0.7808219178082192,0.25,9.56317796268366,9.743084031043104,9.733766277717912,9.847340391913127,7.261225091971921,7.431714281138091
13,2,0,1,6,1,1,1,0,0,14289,6.8,16754,220,56,-2946,-2952,22.0,1428.9,17,1,1,6,1,7,0,0,0,0,17235,7.2,19706,223,67,22.3,1723.5,1.0,0.43333333333333335,0.14285714285714285,9.567315270923913,9.726452000171411,9.75475549873573,9.888729181560583,7.265359790738802,7.452692432376896
14,2,1,12,5,13,1,0,1,0,19266,7.4,19920,236,44,3362,2634,23.6,1926.6,17,3,0,5,12,6,0,0,0,0,15904,6.8,17286,204,44,20.4,1590.4,1.0,0.45161290322580644,0.7058823529411765,9.86614906688076,9.899529730681785,9.674388804183245,9.757710052922787,7.564030984766178,7.372369410943435
16,0,1,10,9,10,0,0,0,0,18034,6.8,17170,211,43,1179,-675,21.1,1803.4,16,2,0,9,10,11,0,0,0,0,16855,7.0,17845,222,32,22.2,1685.5,0.0,0.5,0.5263157894736842,9.80006959333764,9.750977193313803,9.732461955484025,9.789534672460096,7.4979834055342405,7.430410654501705
40,1,0,4,6,3,1,0,1,0,15505,6.8,18109,215,40,-875,-363,21.5,1550.5,12,4,1,6,4,4,1,1,0,0,16380,7.2,18472,232,48,23.2,1638.0,0.5,0.7692307692307693,0.4,9.648982324778904,9.804219550877459,9.703877405604631,9.824065485558638,7.346977483888435,7.40184157874383
16,2,1,9,5,9,1,1,0,0,18098,7.0,18905,225,60,2217,2183,22.5,1809.8,12,1,0,5,9,3,1,0,1,0,15881,6.6,16722,229,32,22.9,1588.1,0.5,0.5714285714285714,0.6428571428571429,9.803611967108871,9.84723461098533,9.672941671455156,9.724540296381123,7.501524015561803,7.370923097218591
10,1,1,5,7,8,0,0,0,0,15548,6.4,16604,191,52,-459,-307,19.1,1554.8,16,2,0,7,5,9,1,1,0,0,16007,6.8,16911,196,40,19.6,1600.7,0.0,0.38461538461538464,0.4166666666666667,9.651751606857816,9.717459133810847,9.68084387626357,9.735778708110018,7.349745161772674,7.378820844174251
16,0,0,3,10,1,0,0,0,0,14689,6.6,16533,195,52,-3089,-2151,19.5,1468.9,14,2,1,10,3,16,1,1,0,0,17778,7.0,18684,219,48,21.9,1777.8,0.0,0.5333333333333333,0.23076923076923078,9.594922269167922,9.713174145812621,9.785773264516571,9.835476341919584,7.292949650247942,7.483694258636541
15,3,1,9,6,9,0,0,0,0,18287,7.4,19617,226,44,1863,2270,22.6,1828.7,16,3,0,6,9,6,0,0,0,0,16424,6.8,17347,232,49,23.2,1642.4,0.0,0.4838709677419355,0.6,9.814000386034591,9.884202791124261,9.706559843352812,9.761232504955258,7.51190729797052,7.4045225454970875
17,0,1,7,9,11,0,0,0,0,16752,7.0,18525,226,42,-753,-299,22.6,1675.2,14,1,0,9,7,6,0,0,0,0,17505,7.0,18824,225,51,22.5,1750.5,0.0,0.5483870967741935,0.4375,9.726332625693532,9.826930429813974,9.770298958292383,9.842941052668094,7.4242846056648055,7.468227842637542
36,3,0,9,7,6,2,1,1,0,17195,7.2,18590,178,75,827,1271,17.8,1719.5,17,1,1,7,9,7,0,0,0,0,16368,6.8,17319,201,46,20.1,1636.8,1.0,0.6792452830188679,0.5625,9.752432077616172,9.830432871630217,9.703144581144354,9.759617182116425,7.450370225237535,7.401109156836088
18,3,1,10,6,12,2,1,1,1,19639,7.2,19616,241,57,2778,1130,24.1,1963.9,22,5,0,6,10,8,0,0,0,0,16861,7.2,18486,240,54,24.0,1686.1,1.0,0.45,0.625,9.885323581908457,9.884151816229386,9.732817848482622,9.824823061352445,7.58319663242315,7.430766357611929
16,2,1,6,8,11,0,0,0,0,16270,6.8,17661,200,54,-82,117,20.0,1627.0,15,3,0,8,6,4,1,1,0,0,16352,6.8,17544,221,37,22.1,1635.2,0.0,0.5161290322580645,0.42857142857142855,9.69713966113932,9.779170718028748,9.70216664573239,9.772524288017316,7.395107546562485,7.400131759079598
12,2,0,6,7,6,0,0,0,0,16685,6.6,17126,223,44,17,-1180,22.3,1668.5,13,2,1,7,6,4,1,1,0,0,16668,7.0,18306,175,61,17.5,1666.8,0.0,0.48,0.46153846153846156,9.72232532346202,9.748411444632369,9.721305985943088,9.815038779351015,7.42027945938371,7.419260671652885
16,3,1,5,7,7,2,1,1,1,18334,7.4,19247,231,70,1111,26,23.1,1833.4,18,4,0,7,5,7,0,0,0,0,17223,7.4,19221,240,56,24.0,1722.3,1.0,0.47058823529411764,0.4166666666666667,9.816567080505427,9.86516243821446,9.754059039044199,9.863810735383229,7.5144727315436946,7.451996336287531
14,3,0,9,6,12,1,1,0,0,18054,7.2,18465,241,52,1859,1271,24.1,1805.4,39,0,1,6,9,11,0,0,0,0,16195,6.8,17194,197,55,19.7,1619.5,1.0,0.2641509433962264,0.6,9.801177933711559,9.823686482332572,9.692519577152051,9.752373922866367,7.499091193395397,7.390490022581602
16,1,0,8,6,10,0,0,0,0,18029,7.2,18791,199,53,2323,1699,19.9,1802.9,15,2,1,6,8,5,0,0,0,0,15706,6.8,17092,192,38,19.2,1570.6,0.0,0.5161290322580645,0.5714285714285714,9.799792316197363,9.841186526338749,9.661861751843032,9.746424301956267,7.4977062667136325,7.359849487684305
14,2,0,2,9,2,0,0,0,0,14646,6.6,16931,219,48,-5036,-2248,21.9,1464.6,16,3,1,9,2,12,2,1,1,1,19682,7.4,19179,262,68,26.2,1968.2,0.0,0.4666666666666667,0.18181818181818182,9.591990815318308,9.736960601640813,9.887510598012987,9.86162334843743,7.2900199939198655,7.585382647884045
36,4,1,3,7,3,0,0,0,0,15040,6.6,16582,205,48,-952,-1268,20.5,1504.0,16,2,0,7,3,4,2,1,1,0,15992,7.0,17850,205,44,20.5,1599.2,0.0,0.6923076923076923,0.3,9.618535084655214,9.716133353214099,9.67990640549087,9.789814808047552,7.316548177182976,7.377883900416023
13,3,1,9,3,13,0,0,0,0,18633,7.0,18698,246,50,2910,856,24.6,1863.3,13,2,0,3,9,4,1,1,0,0,15723,6.8,17842,226,56,22.6,1572.3,0.0,0.5,0.75,9.83274314801037,9.83622532547696,9.662943486541751,9.789366553431428,7.530640926501416,7.360930603246378
17,5,0,6,10,7,1,0,1,0,16100,7.0,17451,192,60,-2907,-1376,19.2,1610.0,18,3,1,10,6,9,1,1,0,0,19007,7.2,18827,260,40,26.0,1900.7,0.5,0.4857142857142857,0.375,9.686636660844938,9.7672095342435,9.852615222162372,9.843100402521033,7.384610383176974,7.5505035019582305
14,0,1,10,9,10,1,1,0,0,18616,7.4,19395,213,76,1885,1082,21.3,1861.6,8,2,0,9,10,9,0,0,0,0,16731,7.0,18313,189,45,18.9,1673.1,1.0,0.6363636363636364,0.5263157894736842,9.831830420771897,9.872822138225242,9.72507833256209,9.815421073667677,7.529728640087558,7.423030986421739
14,6,0,1,7,0,0,0,0,0,13657,6.4,16618,220,48,-3849,-2159,22.0,1365.7,18,1,1,7,1,7,1,1,0,0,17506,7.0,18777,235,56,23.5,1750.6,0.0,0.4375,0.125,9.522080709521035,9.718301898127523,9.770356079932933,9.840441250818493,7.220154353970755,7.468284934927243
10,1,1,7,7,5,0,0,0,0,16463,6.8,17576,215,42,-93,-561,21.5,1646.3,33,0,0,7,7,8,1,1,0,0,16556,7.0,18137,217,40,21.7,1655.6,0.0,0.23255813953488372,0.5,9.708931458073831,9.774346508212899,9.71456425210761,9.805764464007513,7.406892862952937,7.412522588164164
14,4,1,6,2,4,0,0,0,0,16636,7.2,18741,225,40,1833,899,22.5,1663.6,16,0,0,2,6,3,1,1,0,0,14803,6.8,17842,201,63,20.1,1480.3,0.0,0.4666666666666667,0.75,9.719384409659742,9.838522273683768,9.602652693506046,9.789366553431428,7.417340133311995,7.3006753595880065
36,3,0,9,9,10,1,0,1,0,17308,6.8,16585,209,48,832,-504,20.9,1730.8,15,1,1,9,9,6,1,1,0,0,16476,6.6,17089,183,56,18.3,1647.6,0.5,0.7058823529411765,0.5,9.758981876426398,9.71631424501115,9.709720748057432,9.746248776109637,7.4569166090137005,7.407681721879127
12,1,0,2,6,2,0,0,0,0,14295,6.4,16196,211,40,-2514,-2762,21.1,1429.5,56,3,1,6,2,6,1,1,0,0,16809,7.2,18958,219,67,21.9,1680.9,0.0,0.17647058823529413,0.25,9.567735056839265,9.692581318886397,9.729729226402661,9.85003403180204,7.265779312490165,7.427679385733387
