blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin,blue_objective_share,red_objective_share,blue_vision_share,red_vision_share,blue_ward_efficiency,red_ward_efficiency,blue_kill_share,red_kill_share,blue_gold_per_kill,red_gold_per_kill,blue_xp_per_min,red_xp_per_min,gold_obj_momentum,xp_kill_momentum,gold_diff_per_min,xp_diff_per_min
0,11,2,0,0,7,0,0,0,0,0,13068,6.4,15506,198,48,-5375,-4425,19.8,1306.8,124,1,1,7,0,5,2,1,1,0,18443,7.2,19931,235,63,5375,4425,23.5,1844.3,0.0,1.0,0.08148148148148149,0.9185185185185185,0.18181818181818182,0.008064516129032258,0.0,1.0,13068.0,2305.375,1550.6,1993.1,0,0,-537.5,-442.5
1,18,1,1,7,2,6,1,1,0,0,16580,7.4,19213,210,48,1586,1273,21.0,1658.0,30,1,0,2,7,1,0,0,0,0,14994,7.0,17940,232,68,-1586,-1273,23.2,1499.4,1.0,0.0,0.375,0.625,0.05555555555555555,0.03333333333333333,0.7777777777777778,0.2222222222222222,2072.5,4998.0,1921.3,1794.0,1586,8911,158.6,127.3
0,14,2,0,6,7,5,0,0,0,0,16169,6.6,17326,214,42,-620,-1984,21.4,1616.9,18,5,1,7,6,4,2,1,1,0,16789,7.0,19310,237,56,620,1984,23.7,1678.9,0.0,1.0,0.4375,0.5625,0.14285714285714285,0.2777777777777778,0.46153846153846156,0.5384615384615384,2309.8571428571427,2098.625,1732.6,1931.0,0,-11904,-62.0,-198.4
0,11,1,1,2,3,5,1,1,0,0,14305,6.8,17323,214,47,-1517,-972,21.4,1430.5,16,0,0,3,2,3,1,0,1,0,15822,7.0,18295,225,68,1517,972,22.5,1582.2,0.5,0.5,0.4074074074074074,0.5925925925925926,0.09090909090909091,0.0,0.4,0.6,4768.333333333333,3955.5,1732.3,1829.5,-1517,-1944,-151.7,-97.2
0,24,1,1,8,5,5,0,0,0,0,17785,7.2,19422,238,55,2597,2731,23.8,1778.5,37,2,0,5,8,4,1,1,0,0,15188,6.6,16691,199,47,-2597,-2731,19.9,1518.8,0.0,1.0,0.39344262295081966,0.6065573770491803,0.041666666666666664,0.05405405405405406,0.6153846153846154,0.38461538461538464,1976.111111111111,2531.3333333333335,1942.2,1669.1,0,21848,259.7,273.1
1,15,3,1,2,5,1,1,0,1,0,14534,7.0,17364,224,60,-2269,-1616,22.4,1453.4,16,3,0,5,2,7,1,1,0,0,16803,7.0,18980,250,64,2269,1616,25.0,1680.3,0.5,0.5,0.4838709677419355,0.5161290322580645,0.2,0.1875,0.2857142857142857,0.7142857142857143,4844.666666666667,2800.5,1736.4,1898.0,-2269,-3232,-226.9,-161.6
1,14,0,1,6,10,8,0,0,0,0,15091,6.2,14181,172,48,-2623,-3436,17.2,1509.1,10,1,0,10,6,15,1,1,0,0,17714,6.8,17617,211,49,2623,3436,21.1,1771.4,0.0,1.0,0.5833333333333334,0.4166666666666667,0.0,0.1,0.375,0.625,2155.8571428571427,1610.3636363636363,1418.1,1761.7,0,-20616,-262.3,-343.6
0,18,1,0,4,7,7,0,0,0,0,15818,6.8,17864,233,47,-60,1347,23.3,1581.8,62,3,1,7,4,13,1,1,0,0,15878,6.6,16517,186,36,60,-1347,18.6,1587.8,0.0,1.0,0.225,0.775,0.05555555555555555,0.04838709677419355,0.36363636363636365,0.6363636363636364,3163.6,1984.75,1786.4,1651.7,0,5388,-6.0,134.7
1,14,6,1,4,5,5,0,0,0,0,15165,6.8,17251,218,49,-1286,-1695,21.8,1516.5,14,4,0,5,4,5,1,1,0,0,16451,7.2,18946,244,52,1286,1695,24.4,1645.1,0.0,1.0,0.5,0.5,0.42857142857142855,0.2857142857142857,0.4444444444444444,0.5555555555555556,3033.0,2741.8333333333335,1725.1,1894.6,0,-6780,-128.6,-169.5
0,38,4,1,5,7,4,0,0,0,0,16562,7.2,18781,210,64,44,170,21.0,1656.2,21,1,0,7,5,8,1,1,0,0,16518,7.0,18611,245,36,-44,-170,24.5,1651.8,0.0,1.0,0.6440677966101694,0.3559322033898305,0.10526315789473684,0.047619047619047616,0.4166666666666667,0.5833333333333334,2760.3333333333335,2064.75,1878.1,1861.1,0,850,4.4,17.0
0,17,3,1,6,5,8,0,0,0,0,17457,7.0,18210,251,64,2783,1603,25.1,1745.7,123,1,0,5,6,8,2,1,1,0,14674,6.6,16607,190,52,-2783,-1603,19.0,1467.4,0.0,1.0,0.12142857142857143,0.8785714285714286,0.17647058823529413,0.008130081300813009,0.5454545454545454,0.45454545454545453,2493.8571428571427,2445.6666666666665,1821.0,1660.7,0,9618,278.3,160.3
0,17,0,0,1,7,0,0,0,0,0,14266,6.8,17850,222,56,-3389,-1855,22.2,1426.6,39,3,1,7,1,9,2,1,1,0,17655,7.4,19705,231,76,3389,1855,23.1,1765.5,0.0,1.0,0.30357142857142855,0.6964285714285714,0.0,0.07692307692307693,0.125,0.875,7133.0,2206.875,1785.0,1970.5,0,-1855,-338.9,-185.5
0,54,4,0,8,7,9,0,0,0,0,16355,7.0,17876,193,44,-495,934,19.3,1635.5,16,2,1,7,8,7,1,1,0,0,16850,6.6,16942,191,60,495,-934,19.1,1685.0,0.0,1.0,0.7714285714285715,0.22857142857142856,0.07407407407407407,0.125,0.5333333333333333,0.4666666666666667,1817.2222222222222,2106.25,1787.6,1694.2,0,7472,-49.5,93.4
0,144,4,1,4,7,6,1,1,0,0,15787,7.2,18200,230,42,-1856,-1804,23.0,1578.7,14,3,0,7,4,11,0,0,0,0,17643,7.4,20004,225,66,1856,1804,22.5,1764.3,1.0,0.0,0.9113924050632911,0.08860759493670886,0.027777777777777776,0.21428571428571427,0.36363636363636365,0.6363636363636364,3157.4,2205.375,1820.0,2000.4,-1856,-7216,-185.6,-180.4
1,18,4,1,6,7,10,2,1,1,0,17259,7.0,19074,236,67,-214,1004,23.6,1725.9,84,3,0,7,6,8,0,0,0,0,17473,7.0,18070,225,46,214,-1004,22.5,1747.3,1.0,0.0,0.17647058823529413,0.8235294117647058,0.2222222222222222,0.03571428571428571,0.46153846153846156,0.5384615384615384,2465.5714285714284,2184.125,1907.4,1807.0,-428,6024,-21.4,100.4
0,17,2,0,6,10,7,1,1,0,0,15336,6.6,16676,187,56,-2735,-2136,18.7,1533.6,15,1,1,10,6,9,1,0,1,0,18071,7.0,18812,226,46,2735,2136,22.6,1807.1,0.5,0.5,0.53125,0.46875,0.11764705882352941,0.06666666666666667,0.375,0.625,2190.8571428571427,1642.8181818181818,1667.6,1881.2,-2735,-12816,-273.5,-213.6
0,15,1,0,1,6,1,0,0,0,0,13679,6.4,16597,209,52,-4365,-2883,20.9,1367.9,20,4,1,6,1,6,1,1,0,0,18044,7.2,19480,243,59,4365,2883,24.3,1804.4,0.0,1.0,0.42857142857142855,0.5714285714285714,0.06666666666666667,0.2,0.14285714285714285,0.8571428571428571,6839.5,2577.714285714286,1659.7,1948.0,0,-2883,-436.5,-288.3
0,14,3,0,6,5,8,2,1,1,0,16302,7.2,18772,231,46,336,936,23.1,1630.2,16,0,1,5,6,5,0,0,0,0,15966,7.0,17836,223,44,-336,-936,22.3,1596.6,1.0,0.0,0.4666666666666667,0.5333333333333333,0.21428571428571427,0.0,0.5454545454545454,0.45454545454545453,2328.8571428571427,2661.0,1877.2,1783.6,672,5616,33.6,93.6
1,30,4,0,7,3,10,1,1,0,0,16065,6.8,17018,200,53,1322,148,20.0,1606.5,40,5,1,3,7,2,0,0,0,0,14743,6.6,16870,213,35,-1322,-148,21.3,1474.3,1.0,0.0,0.42857142857142855,0.5714285714285714,0.13333333333333333,0.125,0.7,0.3,2008.125,3685.75,1701.8,1687.0,1322,1036,132.2,14.8
1,15,1,0,2,10,1,0,0,0,0,13711,6.2,15114,180,48,-4331,-3757,18.0,1371.1,23,0,1,10,2,12,2,1,1,0,18042,7.2,18871,216,71,4331,3757,21.6,1804.2,0.0,1.0,0.39473684210526316,0.6052631578947368,0.06666666666666667,0.0,0.16666666666666666,0.8333333333333334,4570.333333333333,1640.1818181818182,1511.4,1887.1,0,-7514,-433.1,-375.7
1,15,1,0,3,3,6,0,0,0,0,14127,6.6,16566,186,44,-1171,-1157,18.6,1412.7,16,3,1,3,3,4,1,1,0,0,15298,6.6,17723,233,60,1171,1157,23.3,1529.8,0.0,1.0,0.4838709677419355,0.5161290322580645,0.06666666666666667,0.1875,0.5,0.5,3531.75,3824.5,1656.6,1772.3,0,-3471,-117.1,-115.7
0,12,4,0,2,8,2,1,1,0,0,15421,7.2,19276,217,84,-2771,-1125,21.7,1542.1,14,2,1,8,2,5,0,0,0,0,18192,7.4,20401,234,64,2771,1125,23.4,1819.2,1.0,0.0,0.46153846153846156,0.5384615384615384,0.3333333333333333,0.14285714285714285,0.2,0.8,5140.333333333333,2021.3333333333333,1927.6,2040.1,-2771,-2250,-277.1,-112.5
1,13,1,0,4,5,7,0,0,0,0,15921,7.0,18190,217,48,-594,-353,21.7,1592.1,14,1,1,5,4,7,2,1,1,0,16515,7.2,18543,235,48,594,353,23.5,1651.5,0.0,1.0,0.48148148148148145,0.5185185185185185,0.07692307692307693,0.07142857142857142,0.4444444444444444,0.5555555555555556,3184.2,2752.5,1819.0,1854.3,0,-1412,-59.4,-35.3
1,14,3,1,10,4,12,1,1,0,0,19017,7.2,19432,240,54,5117,4126,24.0,1901.7,15,5,0,4,10,4,0,0,0,0,13900,6.4,15306,193,34,-5117,-4126,19.3,1390.0,1.0,0.0,0.4827586206896552,0.5172413793103449,0.21428571428571427,0.3333333333333333,0.7142857142857143,0.2857142857142857,1728.8181818181818,2780.0,1943.2,1530.6,5117,41260,511.7,412.6
1,18,4,1,4,1,6,1,1,0,0,16448,7.2,18932,248,61,1306,431,24.8,1644.8,14,3,0,1,4,2,0,0,0,0,15142,7.0,18501,262,64,-1306,-431,26.2,1514.2,1.0,0.0,0.5625,0.4375,0.2222222222222222,0.21428571428571427,0.8,0.2,3289.6,7571.0,1893.2,1850.1,1306,1724,130.6,43.1
1,17,3,1,8,5,13,1,1,0,0,17355,6.8,17548,204,39,1890,1473,20.4,1735.5,70,3,0,5,8,5,0,0,0,0,15465,6.4,16075,177,48,-1890,-1473,17.7,1546.5,1.0,0.0,0.19540229885057472,0.8045977011494253,0.17647058823529413,0.04285714285714286,0.6153846153846154,0.38461538461538464,1928.3333333333333,2577.5,1754.8,1607.5,1890,11784,189.0,147.3
0,43,0,0,1,4,0,0,0,0,0,13046,6.2,15452,197,41,-2264,-964,19.7,1304.6,15,6,1,4,1,2,0,0,0,0,15310,6.6,16416,222,44,2264,964,22.2,1531.0,0.5,0.5,0.7413793103448276,0.25862068965517243,0.0,0.4,0.2,0.8,6523.0,3062.0,1545.2,1641.6,0,-964,-226.4,-96.4
1,25,2,0,7,7,8,0,0,0,0,17194,7.0,18161,233,39,633,-944,23.3,1719.4,19,1,1,7,7,5,0,0,0,0,16561,7.2,19105,202,54,-633,944,20.2,1656.1,0.5,0.5,0.5681818181818182,0.4318181818181818,0.08,0.05263157894736842,0.5,0.5,2149.25,2070.125,1816.1,1910.5,0,-6608,63.3,-94.4
1,15,2,1,6,5,5,1,1,0,0,17056,7.2,18811,234,48,739,711,23.4,1705.6,14,0,0,5,6,6,0,0,0,0,16317,6.8,18100,231,53,-739,-711,23.1,1631.7,1.0,0.0,0.5172413793103449,0.4827586206896552,0.13333333333333333,0.0,0.5454545454545454,0.45454545454545453,2436.5714285714284,2719.5,1881.1,1810.0,739,4266,73.9,71.1
1,40,2,0,6,4,4,0,0,0,0,16085,7.4,19076,204,56,275,872,20.4,1608.5,15,1,1,4,6,5,1,1,0,0,15810,7.2,18204,223,62,-275,-872,22.3,1581.0,0.0,1.0,0.7272727272727273,0.2727272727272727,0.05,0.06666666666666667,0.6,0.4,2297.8571428571427,3162.0,1907.6,1820.4,0,5232,27.5,87.2
0,12,1,0,5,11,3,0,0,0,0,16007,6.6,17004,206,64,-3397,-2492,20.6,1600.7,18,3,1,11,5,8,1,1,0,1,19404,7.2,19496,229,68,3397,2492,22.9,1940.4,0.0,1.0,0.4,0.6,0.08333333333333333,0.16666666666666666,0.3125,0.6875,2667.8333333333335,1617.0,1700.4,1949.6,0,-12460,-339.7,-249.2
0,9,2,0,4,8,2,0,0,0,0,15901,6.8,18288,233,55,-1333,284,23.3,1590.1,14,0,1,8,4,13,1,1,0,0,17234,7.0,18004,214,40,1333,-284,21.4,1723.4,0.0,1.0,0.391304347826087,0.6086956521739131,0.2222222222222222,0.0,0.3333333333333333,0.6666666666666666,3180.2,1914.888888888889,1828.8,1800.4,0,1136,-133.3,28.4
0,17,4,0,4,3,6,0,0,0,0,14353,6.8,17197,178,48,-1009,-280,17.8,1435.3,17,4,1,3,4,1,1,1,0,0,15362,6.8,17477,222,62,1009,280,22.2,1536.2,0.0,1.0,0.5,0.5,0.23529411764705882,0.23529411764705882,0.5714285714285714,0.42857142857142855,2870.6,3840.5,1719.7,1747.7,0,-1120,-100.9,-28.0
1,14,5,1,4,2,1,0,0,0,0,15727,7.4,18760,264,56,1441,473,26.4,1572.7,14,2,0,2,4,0,0,0,0,0,14286,7.0,18287,211,43,-1441,-473,21.1,1428.6,0.5,0.5,0.5,0.5,0.35714285714285715,0.14285714285714285,0.6666666666666666,0.3333333333333333,3145.4,4762.0,1876.0,1828.7,0,1892,144.1,47.3
0,15,3,1,2,8,1,1,0,1,0,14014,6.6,16219,205,48,-3443,-2284,20.5,1401.4,17,3,0,8,2,8,0,0,0,0,17457,7.2,18503,230,52,3443,2284,23.0,1745.7,1.0,0.0,0.46875,0.53125,0.2,0.17647058823529413,0.2,0.8,4671.333333333333,1939.6666666666667,1621.9,1850.3,-3443,-4568,-344.3,-228.4
0,38,4,1,3,6,3,0,0,0,0,15541,7.0,18700,236,48,-376,-71,23.6,1554.1,14,0,0,6,3,5,1,1,0,0,15917,7.0,18771,226,48,376,71,22.6,1591.7,0.0,1.0,0.7307692307692307,0.2692307692307692,0.10526315789473684,0.0,0.3333333333333333,0.6666666666666666,3885.25,2273.8571428571427,1870.0,1877.1,0,-213,-37.6,-7.1
0,14,2,1,7,7,4,0,0,0,0,16068,6.8,17309,193,42,-466,608,19.3,1606.8,20,2,0,7,7,9,0,0,0,0,16534,6.4,16701,224,29,466,-608,22.4,1653.4,0.5,0.5,0.4117647058823529,0.5882352941176471,0.14285714285714285,0.1,0.5,0.5,2008.5,2066.75,1730.9,1670.1,0,4256,-46.6,60.8
0,146,0,0,1,11,1,0,0,0,0,13943,6.2,16274,204,56,-5302,-3981,20.4,1394.3,50,3,1,11,1,13,0,0,0,0,19245,7.4,20255,238,64,5302,3981,23.8,1924.5,0.5,0.5,0.7448979591836735,0.25510204081632654,0.0,0.06,0.08333333333333333,0.9166666666666666,6971.5,1603.75,1627.4,2025.5,0,-3981,-530.2,-398.1
0,20,0,0,6,13,8,0,0,0,0,15304,6.4,15933,175,40,-5191,-3819,17.5,1530.4,13,4,1,13,6,15,0,0,0,0,20495,7.2,19752,229,49,5191,3819,22.9,2049.5,0.5,0.5,0.6060606060606061,0.3939393939393939,0.0,0.3076923076923077,0.3157894736842105,0.6842105263157895,2186.285714285714,1463.9285714285713,1593.3,1975.2,0,-22914,-519.1,-381.9
1,16,0,1,12,6,12,2,1,1,0,18661,6.8,18012,197,60,2479,1210,19.7,1866.1,22,2,0,6,12,6,0,0,0,0,16182,6.6,16802,203,44,-2479,-1210,20.3,1618.2,1.0,0.0,0.42105263157894735,0.5789473684210527,0.0,0.09090909090909091,0.6666666666666666,0.3333333333333333,1435.4615384615386,2311.714285714286,1801.2,1680.2,4958,14520,247.9,121.0
0,41,2,1,8,7,15,0,0,0,0,16867,6.8,17923,228,37,150,-446,22.8,1686.7,14,1,0,7,8,5,1,1,0,0,16717,7.2,18369,222,44,-150,446,22.2,1671.7,0.0,1.0,0.7454545454545455,0.2545454545454545,0.04878048780487805,0.07142857142857142,0.5333333333333333,0.4666666666666667,1874.111111111111,2089.625,1792.3,1836.9,0,-3568,15.0,-44.6
0,16,4,0,1,3,1,1,0,1,0,14605,7.0,17830,244,48,-280,903,24.4,1460.5,14,3,1,3,1,3,1,1,0,0,14885,6.6,16927,217,60,280,-903,21.7,1488.5,0.5,0.5,0.5333333333333333,0.4666666666666667,0.25,0.21428571428571427,0.25,0.75,7302.5,3721.25,1783.0,1692.7,-280,903,-28.0,90.3
0,15,2,0,3,5,2,1,1,0,0,14444,6.4,16768,231,27,-1501,-878,23.1,1444.4,17,4,1,5,3,4,0,0,0,0,15945,7.0,17646,215,47,1501,878,21.5,1594.5,1.0,0.0,0.46875,0.53125,0.13333333333333333,0.23529411764705882,0.375,0.625,3611.0,2657.5,1676.8,1764.6,-1501,-2634,-150.1,-87.8
0,42,1,0,6,6,5,0,0,0,0,15651,6.8,17769,195,44,-919,-483,19.5,1565.1,16,2,1,6,6,5,1,1,0,0,16570,7.0,18252,203,68,919,483,20.3,1657.0,0.0,1.0,0.7241379310344828,0.27586206896551724,0.023809523809523808,0.125,0.5,0.5,2235.8571428571427,2367.1428571428573,1776.9,1825.2,0,-2898,-91.9,-48.3
0,57,3,0,2,6,1,0,0,0,0,14230,6.6,17035,232,39,-2647,-1872,23.2,1423.0,16,1,1,6,2,6,2,1,1,0,16877,7.0,18907,254,69,2647,1872,25.4,1687.7,0.0,1.0,0.7808219178082192,0.2191780821917808,0.05263157894736842,0.0625,0.25,0.75,4743.333333333333,2411.0,1703.5,1890.7,0,-3744,-264.7,-187.2
0,13,2,0,1,6,1,1,1,0,0,14289,6.8,16754,220,56,-2946,-2952,22.0,1428.9,17,1,1,6,1,7,0,0,0,0,17235,7.2,19706,223,67,2946,2952,22.3,1723.5,1.0,0.0,0.43333333333333335,0.5666666666666667,0.15384615384615385,0.058823529411764705,0.14285714285714285,0.8571428571428571,7144.5,2462.1428571428573,1675.4,1970.6,-2946,-2952,-294.6,-295.2
1,14,2,1,12,5,13,1,0,1,0,19266,7.4,19920,236,44,3362,2634,23.6,1926.6,17,3,0,5,12,6,0,0,0,0,15904,6.8,17286,204,44,-3362,-2634,20.4,1590.4,1.0,0.0,0.45161290322580644,0.5483870967741935,0.14285714285714285,0.17647058823529413,0.7058823529411765,0.29411764705882354,1482.0,2650.6666666666665,1992.0,1728.6,3362,31608,336.2,263.4
0,16,0,1,10,9,10,0,0,0,0,18034,6.8,17170,211,43,1179,-675,21.1,1803.4,16,2,0,9,10,11,0,0,0,0,16855,7.0,17845,222,32,-1179,675,22.2,1685.5,0.5,0.5,0.5,0.5,0.0,0.125,0.5263157894736842,0.47368421052631576,1639.4545454545455,1685.5,1717.0,1784.5,0,-6750,117.9,-67.5
0,40,1,0,4,6,3,1,0,1,0,15505,6.8,18109,215,40,-875,-363,21.5,1550.5,12,4,1,6,4,4,1,1,0,0,16380,7.2,18472,232,48,875,363,23.2,1638.0,0.5,0.5,0.7692307692307693,0.23076923076923078,0.025,0.3333333333333333,0.4,0.6,3101.0,2340.0,1810.9,1847.2,-875,-1452,-87.5,-36.3
1,16,2,1,9,5,9,1,1,0,0,18098,7.0,18905,225,60,2217,2183,22.5,1809.8,12,1,0,5,9,3,1,0,1,0,15881,6.6,16722,229,32,-2217,-2183,22.9,1588.1,0.5,0.5,0.5714285714285714,0.42857142857142855,0.125,0.08333333333333333,0.6428571428571429,0.35714285714285715,1809.8,2646.8333333333335,1890.5,1672.2,2217,19647,221.7,218.3
0,10,1,1,5,7,8,0,0,0,0,15548,6.4,16604,191,52,-459,-307,19.1,1554.8,16,2,0,7,5,9,1,1,0,0,16007,6.8,16911,196,40,459,307,19.6,1600.7,0.0,1.0,0.38461538461538464,0.6153846153846154,0.1,0.125,0.4166666666666667,0.5833333333333334,2591.3333333333335,2000.875,1660.4,1691.1,0,-1535,-45.9,-30.7
0,16,0,0,3,10,1,0,0,0,0,14689,6.6,16533,195,52,-3089,-2151,19.5,1468.9,14,2,1,10,3,16,1,1,0,0,17778,7.0,18684,219,48,3089,2151,21.9,1777.8,0.0,1.0,0.5333333333333333,0.4666666666666667,0.0,0.14285714285714285,0.23076923076923078,0.7692307692307693,3672.25,1616.1818181818182,1653.3,1868.4,0,-6453,-308.9,-215.1
1,15,3,1,9,6,9,0,0,0,0,18287,7.4,19617,226,44,1863,2270,22.6,1828.7,16,3,0,6,9,6,0,0,0,0,16424,6.8,17347,232,49,-1863,-2270,23.2,1642.4,0.5,0.5,0.4838709677419355,0.5161290322580645,0.2,0.1875,0.6,0.4,1828.7,2346.285714285714,1961.7,1734.7,0,20430,186.3,227.0
1,17,0,1,7,9,11,0,0,0,0,16752,7.0,18525,226,42,-753,-299,22.6,1675.2,14,1,0,9,7,6,0,0,0,0,17505,7.0,18824,225,51,753,299,22.5,1750.5,0.5,0.5,0.5483870967741935,0.45161290322580644,0.0,0.07142857142857142,0.4375,0.5625,2094.0,1750.5,1852.5,1882.4,0,-2093,-75.3,-29.9
1,36,3,0,9,7,6,2,1,1,0,17195,7.2,18590,178,75,827,1271,17.8,1719.5,17,1,1,7,9,7,0,0,0,0,16368,6.8,17319,201,46,-827,-1271,20.1,1636.8,1.0,0.0,0.6792452830188679,0.32075471698113206,0.08333333333333333,0.058823529411764705,0.5625,0.4375,1719.5,2046.0,1859.0,1731.9,1654,11439,82.7,127.1
1,18,3,1,10,6,12,2,1,1,1,19639,7.2,19616,241,57,2778,1130,24.1,1963.9,22,5,0,6,10,8,0,0,0,0,16861,7.2,18486,240,54,-2778,-1130,24.0,1686.1,1.0,0.0,0.45,0.55,0.16666666666666666,0.22727272727272727,0.625,0.375,1785.3636363636363,2408.714285714286,1961.6,1848.6,5556,11300,277.8,113.0
0,16,2,1,6,8,11,0,0,0,0,16270,6.8,17661,200,54,-82,117,20.0,1627.0,15,3,0,8,6,4,1,1,0,0,16352,6.8,17544,221,37,82,-117,22.1,1635.2,0.0,1.0,0.5161290322580645,0.4838709677419355,0.125,0.2,0.42857142857142855,0.5714285714285714,2324.285714285714,1816.888888888889,1766.1,1754.4,0,702,-8.2,11.7
